id_segmentasi,id_tenant,txt_latar_belakang,txt_noble_purpose,txt_konsumen,txt_produk_inovatif,txt_strategi_pemasaran,txt_sumber_daya,txt_keuangan_narrative,txt_rab_narrative,parsing_status
18,18,Sampah minyak jelantah dibuang ke selokan bikin mampet dan mencemari air.,Mengubah limbah jadi berkah energi terbarukan.,Ibu rumah tangga pengumpul jelantah.,Lilin aromaterapi dari olahan minyak jelantah yang sudah dimurnikan.,Titip jual di toko souvenir dan hampers nikahan.,Alat penyaring minyak sederhana.,HPP sangat rendah karena bahan baku gratis/murah.,Beli essential oil dan wadah kaca estetik.,Success
19,19,Bahasa daerah (Sunda) mulai ditinggalkan generasi Z.,Melestarikan bahasa ibu lewat teknologi yang menyenangkan.,Siswa SD-SMP di Jawa Barat.,"Game edukasi RPG ""Petualangan Si Kabayan"" dengan dialog full Bahasa Sunda.",Roadshow ke sekolah-sekolah dasar.,Game developer unity engine.,Jual item dalam game (IAP) dan versi premium tanpa iklan.,Licensi software Unity dan aset grafis 2D.,Success
20,20,Antri cuci motor lama banget pas musim hujan.,Memberikan efisiensi waktu bagi pengendara motor.,Ojek online dan pekerja kantoran.,"Cuci motor robotik ""RoboWash"". 5 menit selesai otomatis.",Lokasi strategis pinggir jalan raya pulang kerja.,Teknisi mesin hidrolik.,Tarif 15rb per motor.,Investasi mesin cuci motor otomatis (mahal di awal).,Success
21,21,Banyak kucing liar yang tidak terawat dan kelaparan di jalanan.,Menciptakan ekosistem ramah hewan di perkotaan.,Pecinta kucing (Cat Lovers).,"Aplikasi ""StreetFeeding"" untuk donasi makanan kucing liar. User bisa lapor lokasi kucing butuh makan.",Komunitas pecinta hewan.,Tim developer aplikasi.,Potongan 5% dari donasi terkumpul.,Server dan biaya operasional relawan street feeding.,Success
22,22,Limbah kulit kopi (cascara) biasanya dibuang begitu saja.,Zero waste coffee industry.,Penikmat teh dan kopi artisan.,"Teh Cascara ""KopiTeh"". Minuman antioksidan tinggi dari kulit kopi.",Pameran kopi dan jual online.,Suplier petani kopi Ciwidey.,Margin profit 50%.,Kemasan pouch ziplock printing.,Success
23,23,Sering lupa bawa STNK atau SIM saat berkendara.,Digitalisasi dokumen kendaraan yang aman.,Pengendara bermotor.,"Casing HP yang ada slot kartu rahasia di dalamnya, desain custom.",Jual di marketplace.,Mesin cetak casing custom.,Omzet 2 juta.,Stok casing polosan berbagai tipe HP.,Partial
24,24,Kecelakaan motor tinggi karena mengantuk (microsleep).,Menyelamatkan nyawa pengendara motor.,Pengendara motor jarak jauh/touring.,"Helm pintar ""WakeUp"" dengan sensor detak jantung. Jika terdeteksi ngantuk, helm akan bergetar.",Komunitas motor touring.,Riset sensor IoT Arduino.,"Belum dijual, masih riset.",Beli komponen sensor dan helm bahan percobaan.,Success
25,25,"Cari parkir di mall pas weekend susah banget, muter-muter habisin bensin.",Mengurangi emisi karbon akibat mencari parkir dan menghemat waktu.,Pengunjung mall kota besar.,"Aplikasi booking slot parkir mall. Bayar di muka, slot dijagain.",Kerjasama dengan pengelola parkir (Secure Parking dll).,Backend system terintegrasi gate parkir.,Biaya admin Rp 2.000 per booking.,Integrasi sistem gate barrier.,Success
26,26,Banyak orang ingin investasi saham tapi takut rugi dan tidak paham grafik.,Demokratisasi literasi keuangan pasar modal.,Mahasiswa dan first jobber.,"Platform belajar saham virtual ""SahamKuy"". Simulasi trading dengan data real-time tapi uang mainan.",Kampus ekonomi dan bisnis.,Data feed dari bursa efek (delay 15 menit).,Langganan fitur premium analisa teknikal.,Langganan API data saham.,Success
27,27,Buah-buahan lokal sering busuk sebelum terjual karena rantai pasok panjang.,Mengurangi food loss dan membantu petani buah.,Toko buah dan supermarket.,"Edible Coating ""BuahAwet"" dari bahan lilin lebah. Buah tahan busuk 2x lebih lama.",Demo ke pengepul buah.,Mahasiswa kimia murni.,"HPP murah, jual literan.",Bahan baku beeswax dan chitosan.,Success
28,28,Lansia sering lupa minum obat atau salah dosis.,Meningkatkan harapan hidup lansia dengan kepatuhan minum obat.,Keluarga yang merawat lansia.,Kotak obat pintar yang bunyi alarm saat jam minum obat. Ada notif ke HP anak jika obat belum diminum.,Toko alat kesehatan.,Engineer elektro.,Harga jual 300rb per unit.,Produksi casing 3D print dan PCB custom.,Success
29,29,Banyak buku bekas kuliah yang numpuk tidak terpakai.,Sirkulasi ilmu pengetahuan yang murah.,Mahasiswa baru.,Marketplace buku bekas khusus buku kuliah.,Grup angkatan maba.,Web developer.,Fee transaksi.,Hosting web.,Partial
30,30,Stress kerja tinggi butuh healing tapi tidak punya waktu liburan jauh.,Kesehatan mental masyarakat urban.,Karyawan SCBD (Sudirman Central Business District).,"Jasa ""CurhatTeman"". Teman sewaan untuk mendengarkan keluh kesah (bukan psikolog klinis).",Twitter/X.,Pendengar yang empatik.,Tarif per jam.,Website booking jadwal.,Success
31,31,Hama tikus di sawah merugikan petani hingga gagal panen.,Ketahanan pangan nasional.,Petani padi.,Alat pengusir tikus gelombang ultrasonik tenaga surya.,Dinas pertanian.,Mahasiswa fisika.,Jual putus alat.,Panel surya mini dan speaker ultrasonik.,Success
32,32,Banyak hoax beredar di grup WhatsApp keluarga.,Mencerdaskan kehidupan bangsa dengan literasi digital.,Pengguna internet umum.,"Chatbot WhatsApp ""CekFakta"" otomatis verifikasi berita hoax atau fakta.",Viral marketing.,API NLP dan database berita valid.,Donasi dan grant riset.,Server GPU untuk model AI.,Success
33,33,Sulit mencari mentor skripsi yang satu frekuensi riset.,Mempercepat kelulusan mahasiswa tingkat akhir.,Mahasiswa semester akhir.,Platform matchmaking dosen-mahasiswa berdasarkan minat riset (seperti Tinder tapi buat skripsi).,Sosialisasi ke prodi.,Algoritma matching.,Freemium model.,Marketing kampus.,Success
34,34,Limbah kulit kerang di pantai Cirebon menumpuk bau.,Ekonomi kreatif pesisir.,Turis dan dekorator interior.,Kerajinan lampu hias dari kulit kerang dan resin.,Toko oleh-oleh Cirebon.,Pengrajin lokal.,Margin 100%.,Bahan resin dan katalis.,Success
35,35,Anak kos sering bingung mau masak apa dengan bahan sisa di kulkas.,Menghemat pengeluaran makan anak kos.,Anak kos.,"App ""MasakApa"". Foto isi kulkas, AI rekomendasikan resep yang bisa dibuat.",TikTok konten masak simple.,Database resep masakan indonesia.,Iklan bumbu masak di dalam aplikasi.,API Image Recognition.,Success
36,36,Antrian barbershop sering tidak jelas nunggu berapa lama.,Efisiensi waktu grooming pria.,Pria urban.,Aplikasi booking barbershop real-time.,Kerjasama barbershop lokal.,Sistem POS untuk barber.,Langganan SaaS barbershop.,Tablet android untuk mitra barber.,Success
37,37,Banyak freelancer tidak punya asuransi kesehatan atau BPJS.,Jaring pengaman sosial pekerja gig economy.,"Freelancer, ojol.","Agregator asuransi mikro ""ProteksiReceh"". Premi mulai 10rb per bulan.",Komunitas freelancer.,Broker asuransi digital.,Komisi penjualan polis.,Legalitas OJK (mahal).,Success
38,38,Sulit mencari ART atau baby sitter yang terpercaya background check-nya.,Keamanan keluarga.,Keluarga muda bekerja.,"Platform penyalur ART ""BantuRumah"" dengan verifikasi biometrik dan psikotes.",Komunitas ibu-ibu komplek.,Psikolog untuk screening ART.,Biaya administrasi pengambilan ART.,Sistem database kependudukan.,Success
39,39,"Batik tulis tradisional mahal dan proses lama, anak muda kurang minat.",Regenerasi pembatik muda.,Gen Z.,Batik cap motif pop-culture (anime/game) dengan pewarna alami.,Fashion show indie.,Desainer motif batik.,Jual kemeja batik modern.,Canting cap tembaga custom.,Success
40,40,Belajar ngaji (Al-Quran) sering terkendala jarak guru ngaji.,Memberantas buta huruf Al-Quran.,Muslim urban.,"Aplikasi ""NgajiOnline"". Video call privat dengan ustadz tersertifikasi.",Pengajian perkantoran.,Database ustadz/ustadzah.,Paket langganan bulanan.,Server video streaming lancar.,Success
41,41,Usaha laundry kiloan sering tertukar bajunya atau hilang.,Profesionalitas bisnis laundry.,Pengusaha laundry.,Sistem POS Laundry dengan tagging QR Code tahan air untuk setiap potong baju.,Asosiasi laundry indonesia.,Software engineer.,Jual paket software + printer QR.,Printer thermal khusus kain.,Success
42,42,Banyak lahan tidur di perkotaan yang tidak produktif.,Urban farming untuk ketahanan pangan kota.,Warga kota.,"Paket instalasi hidroponik ""KebunAtap"" terima beres + pendampingan sampai panen.",Pameran flora fauna.,Ahli agronomi.,Jasa instalasi dan jual nutrisi AB Mix.,Pipa PVC dan pompa air.,Success
43,43,Sering kehilangan helm di parkiran kampus.,Keamanan barang pribadi mahasiswa.,Mahasiswa motoran.,"Locker penitipan helm ""SafeHelm"" berbasis IoT pakai kartu mahasiswa (KTM).",Parkiran kampus.,Mekanik locker.,Sewa locker 2000 per hari.,Pembuatan lemari besi locker.,Success
44,44,Tuna netra kesulitan navigasi di trotoar yang rusak.,Inklusivitas difabel.,Penyandang tuna netra.,Tongkat pintar dengan sensor jarak ultrasonik dan GPS yang tersambung ke earphone.,Yayasan tuna netra.,Riset hardware.,CSR Perusahaan.,Komponen sensor dan mikrokontroler.,Success
45,45,Wisatawan asing bingung naik angkot di Bandung.,Mendukung pariwisata lokal.,Backpacker asing.,Peta digital rute angkot Bandung dalam bahasa Inggris terintegrasi Google Maps.,Hostel dan hotel murah.,GIS specialist.,Iklan tempat wisata di peta.,Survey rute angkot manual.,Partial
46,46,Peternak ayam broiler sering gagal panen karena suhu kandang tidak stabil.,Efisiensi peternakan ayam.,Peternak ayam mitra plasma.,Smart Kandang. Pengatur suhu dan kelembaban otomatis berbasis IoT.,Koperasi peternak.,Teknisi listrik.,Jual alat dan maintenance.,Blower fan dan heater.,Success
47,47,Konsumsi gula berlebih penyebab diabetes di Indonesia tinggi.,Pencegahan diabetes sejak dini.,Health conscious people.,"Stevia cair ""ManisAlami"" ekstrak daun stevia lokal tanpa aftertaste pahit.",Toko organik.,Ahli teknologi pangan.,Jual botol tetes.,Ekstraksi daun stevia lab.,Success
48,48,Susah cari parkir sepeda yang aman di kantor/kampus.,Mendukung gerakan bike to work.,Pesepeda.,Rak parkir sepeda susun otomatis hemat tempat.,Gedung perkantoran.,Insinyur sipil/mesin.,Jual ke pengelola gedung.,Konstruksi besi baja.,Success
49,49,Limbah minyak atsiri (sereh wangi) belum dimaksimalkan.,Hilirisasi komoditas lokal.,Pasar ekspor.,Sabun dan skincare berbahan dasar sereh wangi anti nyamuk.,Pameran ekspor.,Formulator kosmetik.,Margin ekspor tinggi.,Sertifikasi BPOM.,Success
50,50,Banyak barang elektronik rusak sedikit langsung dibuang (e-waste).,Circular economy elektronik.,Masyarakat umum.,"Kampanye ""Repair Cafe"". Workshop memperbaiki barang elektronik sendiri dipandu ahli gratis.",Balai warga.,Relawan teknisi.,Jual sparepart dan donasi sukarela.,Tools service set lengkap.,Success
