id_segmentasi,id_tenant,txt_latar_belakang,txt_noble_purpose,txt_konsumen,txt_produk_inovatif,txt_strategi_pemasaran,txt_sumber_daya,txt_keuangan_narrative,txt_rab_narrative,parsing_status,full_proposal,feat_completeness_latar_belakang,feat_completeness_deskripsi_usaha,feat_completeness_rab,feat_depth_latar_belakang,feat_depth_deskripsi_usaha,feat_depth_rab,feat_keywords_latar_belakang,feat_keywords_deskripsi_usaha,feat_keywords_rab,feat_numerical_latar_belakang,feat_numerical_deskripsi_usaha,feat_numerical_rab,feat_structure_latar_belakang,feat_structure_deskripsi_usaha,feat_structure_rab,skor_latar_belakang,skor_deskripsi_usaha,skor_rab,bobot_latar_belakang,bobot_deskripsi_usaha,bobot_rab,nilai_total_akhir,rekomendasi_sistem,waktu_penilaian,id_penilaian
11,11,Kebutuhan protein tinggi untuk olahragawan biasanya mahal whey protein .,Menyediakan alternatif protein murah dan ramah lingkungan.,Member gym dan komunitas calisthenics.,"Bar protein dari tepung jangkrik Cricket Flour . Tinggi protein, rendah lemak.",Endorsement influencer fitness lokal dan sampling di gym.,Kerjasama dengan peternak jangkrik di Cirebon.,"HPP Rp 5.000, Jual Rp 15.000. Margin tinggi.",Sewa alat oven dan kemasan foil printing.,Success,"[LATAR BELAKANG] Kebutuhan protein tinggi untuk olahragawan biasanya mahal whey protein . [SEP] [NOBLE PURPOSE] Menyediakan alternatif protein murah dan ramah lingkungan. [SEP] [KONSUMEN] Member gym dan komunitas calisthenics. [SEP] [PRODUK INOVATIF] Bar protein dari tepung jangkrik Cricket Flour . Tinggi protein, rendah lemak. [SEP] [STRATEGI PEMASARAN] Endorsement influencer fitness lokal dan sampling di gym. [SEP] [SUMBER DAYA] Kerjasama dengan peternak jangkrik di Cirebon. [SEP] [KEUANGAN NARRATIVE] HPP Rp 5.000, Jual Rp 15.000. Margin tinggi. [SEP] [RAB NARRATIVE] Sewa alat oven dan kemasan foil printing.",100.0,50.0,0.0,24.5,37.099999999999994,23.45,12.5,4.081632653061225,0.0,0.0,77.0,0.0,30,75,30,37.52,43.74,9.19,1.88,37.18,0.92,39.98,Ditolak,2025-12-16 11:08:48,11
12,12,Sering kehabisan baterai HP saat di luar tapi malas bawa powerbank berat.,Memastikan semua orang tetap terkoneksi tanpa takut lowbat.,Wisatawan dan pejalan kaki di area Braga Asia Afrika.,"Vending machine sewa powerbank PowerRent . Scan QR, ambil powerbank, kembalikan di stasiun mana saja.",Penempatan mesin di cafe hits dan stasiun kereta.,Tim teknis hardware dan backend developer.,Sewa Rp 5.000 per jam.,Impor mesin vending dari China dan modifikasi software.,Success,"[LATAR BELAKANG] Sering kehabisan baterai HP saat di luar tapi malas bawa powerbank berat. [SEP] [NOBLE PURPOSE] Memastikan semua orang tetap terkoneksi tanpa takut lowbat. [SEP] [KONSUMEN] Wisatawan dan pejalan kaki di area Braga Asia Afrika. [SEP] [PRODUK INOVATIF] Vending machine sewa powerbank PowerRent . Scan QR, ambil powerbank, kembalikan di stasiun mana saja. [SEP] [STRATEGI PEMASARAN] Penempatan mesin di cafe hits dan stasiun kereta. [SEP] [SUMBER DAYA] Tim teknis hardware dan backend developer. [SEP] [KEUANGAN NARRATIVE] Sewa Rp 5.000 per jam. [SEP] [RAB NARRATIVE] Impor mesin vending dari China dan modifikasi software.",100.0,50.0,100.0,25.2,38.849999999999994,23.8,0.0,2.0408163265306123,0.0,0.0,71.0,0.0,30,45,30,34.54,38.18,34.26,1.73,32.45,3.43,37.61,Ditolak,2025-12-16 11:08:48,12
13,13,Anak-anak zaman sekarang kecanduan gadget dan kurang gerak. Mainan tradisional mulai punah.,Melestarikan budaya bermain tradisional sekaligus menyehatkan fisik anak.,Orang tua milenial yang khawatir screen-time anak.,"Kit mainan tradisional Egrang, Gasing dengan sentuhan desain modern dan warna pop.",Pameran mainan anak dan workshop di sekolah TK SD.,Pengrajin kayu lokal di Jatinangor.,"Penjualan 100 paket per bulan, omzet 15 juta.",Stok bahan baku kayu albasia dan cat non-toxic.,Success,"[LATAR BELAKANG] Anak-anak zaman sekarang kecanduan gadget dan kurang gerak. Mainan tradisional mulai punah. [SEP] [NOBLE PURPOSE] Melestarikan budaya bermain tradisional sekaligus menyehatkan fisik anak. [SEP] [KONSUMEN] Orang tua milenial yang khawatir screen-time anak. [SEP] [PRODUK INOVATIF] Kit mainan tradisional Egrang, Gasing dengan sentuhan desain modern dan warna pop. [SEP] [STRATEGI PEMASARAN] Pameran mainan anak dan workshop di sekolah TK SD. [SEP] [SUMBER DAYA] Pengrajin kayu lokal di Jatinangor. [SEP] [KEUANGAN NARRATIVE] Penjualan 100 paket per bulan, omzet 15 juta. [SEP] [RAB NARRATIVE] Stok bahan baku kayu albasia dan cat non-toxic.",100.0,33.33333333333333,0.0,25.2,38.15,23.8,0.0,2.0408163265306123,0.0,0.0,36.0,0.0,30,45,30,34.54,28.62,9.26,1.73,24.33,0.93,26.99,Ditolak,2025-12-16 11:08:48,13
14,14,Banyak baju pesta atau jas wisuda yang hanya dipakai sekali lalu menumpuk di lemari.,Mengurangi limbah fashion fast fashion dengan konsep sharing economy.,Mahasiswa tingkat akhir dan tamu undangan pernikahan.,"Platform sewa baju RentStyle . Bisa sewa H-3, laundry ditanggung kami.",Instagram feeds katalog baju dan kerjasama dengan MUA.,Stok awal 50 kebaya dan 30 jas pria. Ruang penyimpanan di garasi rumah.,Harga sewa 150rb-300rb 3 hari. Balik modal estimasi 8 bulan.,Beli stok baju baru dan biaya dry cleaning rutin.,Success,"[LATAR BELAKANG] Banyak baju pesta atau jas wisuda yang hanya dipakai sekali lalu menumpuk di lemari. [SEP] [NOBLE PURPOSE] Mengurangi limbah fashion fast fashion dengan konsep sharing economy. [SEP] [KONSUMEN] Mahasiswa tingkat akhir dan tamu undangan pernikahan. [SEP] [PRODUK INOVATIF] Platform sewa baju RentStyle . Bisa sewa H-3, laundry ditanggung kami. [SEP] [STRATEGI PEMASARAN] Instagram feeds katalog baju dan kerjasama dengan MUA. [SEP] [SUMBER DAYA] Stok awal 50 kebaya dan 30 jas pria. Ruang penyimpanan di garasi rumah. [SEP] [KEUANGAN NARRATIVE] Harga sewa 150rb-300rb 3 hari. Balik modal estimasi 8 bulan. [SEP] [RAB NARRATIVE] Beli stok baju baru dan biaya dry cleaning rutin.",100.0,100.0,0.0,25.9,41.3,24.15,0.0,2.0408163265306123,12.5,0.0,45.0,0.0,30,45,30,34.68,47.27,12.46,1.73,40.18,1.25,43.16,Ditolak,2025-12-16 11:08:48,14
15,15,Petani lele sering rugi karena harga pakan pabrikan naik terus. Lele kanibal karena telat makan.,Mensejahterakan petani lele dengan teknologi tepat guna.,Petani lele kolam terpal.,Automatic Feeder LeleFeed berbasis IoT. Jadwal pakan bisa diatur via HP. Hemat pakan 20 .,Demo alat di kelompok tani perikanan.,Mahasiswa teknik mesin dan informatika.,Harga alat 1.5 juta.,Riset dan pengembangan casing alat tahan air.,Success,[LATAR BELAKANG] Petani lele sering rugi karena harga pakan pabrikan naik terus. Lele kanibal karena telat makan. [SEP] [NOBLE PURPOSE] Mensejahterakan petani lele dengan teknologi tepat guna. [SEP] [KONSUMEN] Petani lele kolam terpal. [SEP] [PRODUK INOVATIF] Automatic Feeder LeleFeed berbasis IoT. Jadwal pakan bisa diatur via HP. Hemat pakan 20 . [SEP] [STRATEGI PEMASARAN] Demo alat di kelompok tani perikanan. [SEP] [SUMBER DAYA] Mahasiswa teknik mesin dan informatika. [SEP] [KEUANGAN NARRATIVE] Harga alat 1.5 juta. [SEP] [RAB NARRATIVE] Riset dan pengembangan casing alat tahan air.,100.0,33.33333333333333,0.0,26.25,35.35,23.45,0.0,2.0408163265306123,0.0,0.0,54.0,0.0,30,45,30,34.75,30.76,9.19,1.74,26.15,0.92,28.81,Ditolak,2025-12-16 11:08:48,15
16,16,Susah mencari kos-kosan yang sesuai budget dan fasilitas tanpa harus keliling survei manual.,Memudahkan perantau mendapatkan hunian yang layak dan aman.,Mahasiswa baru luar kota.,Web InfoKos Jatinangor dengan fitur Virtual Tour 360 derajat kamar kos.,SEO Google dan kerjasama dengan pemilik kos.,Kamera 360 dan skill web development.,Biaya listing premium dari pemilik kos.,Beli kamera 360 yang lebih bagus resolusinya.,Success,[LATAR BELAKANG] Susah mencari kos-kosan yang sesuai budget dan fasilitas tanpa harus keliling survei manual. [SEP] [NOBLE PURPOSE] Memudahkan perantau mendapatkan hunian yang layak dan aman. [SEP] [KONSUMEN] Mahasiswa baru luar kota. [SEP] [PRODUK INOVATIF] Web InfoKos Jatinangor dengan fitur Virtual Tour 360 derajat kamar kos. [SEP] [STRATEGI PEMASARAN] SEO Google dan kerjasama dengan pemilik kos. [SEP] [SUMBER DAYA] Kamera 360 dan skill web development. [SEP] [KEUANGAN NARRATIVE] Biaya listing premium dari pemilik kos. [SEP] [RAB NARRATIVE] Beli kamera 360 yang lebih bagus resolusinya.,100.0,33.33333333333333,0.0,25.55,35.7,23.45,0.0,4.081632653061225,0.0,0.0,36.0,33.0,30,45,30,34.61,28.64,14.14,1.73,24.34,1.41,27.48,Ditolak,2025-12-16 11:08:48,16
17,17,Banyak UMKM yang tidak punya budget sewa desainer grafis mahal untuk konten medsos.,Membantu visual branding UMKM agar terlihat profesional.,UMKM kuliner dan fashion.,Layanan desain grafis langganan DesainKilat . 500rb bulan dapat 15 desain feeds.,Ads Instagram target admin olshop.,2 orang desainer grafis lulusan DKV.,Omzet 5 juta bulan lalu.,Upgrade PC spec tinggi untuk render cepat.,Success,[LATAR BELAKANG] Banyak UMKM yang tidak punya budget sewa desainer grafis mahal untuk konten medsos. [SEP] [NOBLE PURPOSE] Membantu visual branding UMKM agar terlihat profesional. [SEP] [KONSUMEN] UMKM kuliner dan fashion. [SEP] [PRODUK INOVATIF] Layanan desain grafis langganan DesainKilat . 500rb bulan dapat 15 desain feeds. [SEP] [STRATEGI PEMASARAN] Ads Instagram target admin olshop. [SEP] [SUMBER DAYA] 2 orang desainer grafis lulusan DKV. [SEP] [KEUANGAN NARRATIVE] Omzet 5 juta bulan lalu. [SEP] [RAB NARRATIVE] Upgrade PC spec tinggi untuk render cepat.,100.0,33.33333333333333,0.0,25.55,34.65,23.45,0.0,2.0408163265306123,0.0,0.0,42.0,0.0,30,45,30,34.61,28.82,9.19,1.73,24.5,0.92,27.15,Ditolak,2025-12-16 11:08:48,17
18,18,Sampah minyak jelantah dibuang ke selokan bikin mampet dan mencemari air.,Mengubah limbah jadi berkah energi terbarukan.,Ibu rumah tangga pengumpul jelantah.,Lilin aromaterapi dari olahan minyak jelantah yang sudah dimurnikan.,Titip jual di toko souvenir dan hampers nikahan.,Alat penyaring minyak sederhana.,HPP sangat rendah karena bahan baku gratis murah.,Beli essential oil dan wadah kaca estetik.,Success,[LATAR BELAKANG] Sampah minyak jelantah dibuang ke selokan bikin mampet dan mencemari air. [SEP] [NOBLE PURPOSE] Mengubah limbah jadi berkah energi terbarukan. [SEP] [KONSUMEN] Ibu rumah tangga pengumpul jelantah. [SEP] [PRODUK INOVATIF] Lilin aromaterapi dari olahan minyak jelantah yang sudah dimurnikan. [SEP] [STRATEGI PEMASARAN] Titip jual di toko souvenir dan hampers nikahan. [SEP] [SUMBER DAYA] Alat penyaring minyak sederhana. [SEP] [KEUANGAN NARRATIVE] HPP sangat rendah karena bahan baku gratis murah. [SEP] [RAB NARRATIVE] Beli essential oil dan wadah kaca estetik.,100.0,16.666666666666664,0.0,24.85,35.0,23.45,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.47,18.43,9.19,1.72,15.67,0.92,18.31,Ditolak,2025-12-16 11:08:48,18
19,19,Bahasa daerah Sunda mulai ditinggalkan generasi Z.,Melestarikan bahasa ibu lewat teknologi yang menyenangkan.,Siswa SD-SMP di Jawa Barat.,Game edukasi RPG Petualangan Si Kabayan dengan dialog full Bahasa Sunda.,Roadshow ke sekolah-sekolah dasar.,Game developer unity engine.,Jual item dalam game IAP dan versi premium tanpa iklan.,Licensi software Unity dan aset grafis 2D.,Success,[LATAR BELAKANG] Bahasa daerah Sunda mulai ditinggalkan generasi Z. [SEP] [NOBLE PURPOSE] Melestarikan bahasa ibu lewat teknologi yang menyenangkan. [SEP] [KONSUMEN] Siswa SD-SMP di Jawa Barat. [SEP] [PRODUK INOVATIF] Game edukasi RPG Petualangan Si Kabayan dengan dialog full Bahasa Sunda. [SEP] [STRATEGI PEMASARAN] Roadshow ke sekolah-sekolah dasar. [SEP] [SUMBER DAYA] Game developer unity engine. [SEP] [KEUANGAN NARRATIVE] Jual item dalam game IAP dan versi premium tanpa iklan. [SEP] [RAB NARRATIVE] Licensi software Unity dan aset grafis 2D.,0.0,50.0,0.0,23.45,35.35,23.45,0.0,2.0408163265306123,0.0,0.0,0.0,33.0,30,45,30,9.19,26.83,14.14,0.46,22.81,1.41,24.68,Ditolak,2025-12-16 11:08:48,19
20,20,Antri cuci motor lama banget pas musim hujan.,Memberikan efisiensi waktu bagi pengendara motor.,Ojek online dan pekerja kantoran.,Cuci motor robotik RoboWash . 5 menit selesai otomatis.,Lokasi strategis pinggir jalan raya pulang kerja.,Teknisi mesin hidrolik.,Tarif 15rb per motor.,Investasi mesin cuci motor otomatis mahal di awal .,Success,[LATAR BELAKANG] Antri cuci motor lama banget pas musim hujan. [SEP] [NOBLE PURPOSE] Memberikan efisiensi waktu bagi pengendara motor. [SEP] [KONSUMEN] Ojek online dan pekerja kantoran. [SEP] [PRODUK INOVATIF] Cuci motor robotik RoboWash . 5 menit selesai otomatis. [SEP] [STRATEGI PEMASARAN] Lokasi strategis pinggir jalan raya pulang kerja. [SEP] [SUMBER DAYA] Teknisi mesin hidrolik. [SEP] [KEUANGAN NARRATIVE] Tarif 15rb per motor. [SEP] [RAB NARRATIVE] Investasi mesin cuci motor otomatis mahal di awal .,0.0,16.666666666666664,100.0,23.8,32.9,24.15,0.0,2.0408163265306123,12.5,0.0,36.0,0.0,30,45,30,9.26,23.41,37.46,0.46,19.9,3.75,24.11,Ditolak,2025-12-16 11:08:48,20
21,21,Banyak kucing liar yang tidak terawat dan kelaparan di jalanan.,Menciptakan ekosistem ramah hewan di perkotaan.,Pecinta kucing Cat Lovers .,Aplikasi StreetFeeding untuk donasi makanan kucing liar. User bisa lapor lokasi kucing butuh makan.,Komunitas pecinta hewan.,Tim developer aplikasi.,Potongan 5 dari donasi terkumpul.,Server dan biaya operasional relawan street feeding.,Success,[LATAR BELAKANG] Banyak kucing liar yang tidak terawat dan kelaparan di jalanan. [SEP] [NOBLE PURPOSE] Menciptakan ekosistem ramah hewan di perkotaan. [SEP] [KONSUMEN] Pecinta kucing Cat Lovers . [SEP] [PRODUK INOVATIF] Aplikasi StreetFeeding untuk donasi makanan kucing liar. User bisa lapor lokasi kucing butuh makan. [SEP] [STRATEGI PEMASARAN] Komunitas pecinta hewan. [SEP] [SUMBER DAYA] Tim developer aplikasi. [SEP] [KEUANGAN NARRATIVE] Potongan 5 dari donasi terkumpul. [SEP] [RAB NARRATIVE] Server dan biaya operasional relawan street feeding.,100.0,16.666666666666664,100.0,24.5,33.6,23.45,0.0,2.0408163265306123,25.0,0.0,33.0,0.0,30,45,30,34.4,23.1,40.44,1.72,19.64,4.04,25.4,Ditolak,2025-12-16 11:08:48,21
22,22,Limbah kulit kopi cascara biasanya dibuang begitu saja.,Zero waste coffee industry.,Penikmat teh dan kopi artisan.,Teh Cascara KopiTeh . Minuman antioksidan tinggi dari kulit kopi.,Pameran kopi dan jual online.,Suplier petani kopi Ciwidey.,Margin profit 50 .,Kemasan pouch ziplock printing.,Success,[LATAR BELAKANG] Limbah kulit kopi cascara biasanya dibuang begitu saja. [SEP] [NOBLE PURPOSE] Zero waste coffee industry. [SEP] [KONSUMEN] Penikmat teh dan kopi artisan. [SEP] [PRODUK INOVATIF] Teh Cascara KopiTeh . Minuman antioksidan tinggi dari kulit kopi. [SEP] [STRATEGI PEMASARAN] Pameran kopi dan jual online. [SEP] [SUMBER DAYA] Suplier petani kopi Ciwidey. [SEP] [KEUANGAN NARRATIVE] Margin profit 50 . [SEP] [RAB NARRATIVE] Kemasan pouch ziplock printing.,100.0,16.666666666666664,0.0,23.8,32.2,22.4,0.0,4.081632653061225,0.0,0.0,33.0,0.0,30,45,30,34.26,23.33,8.98,1.71,19.83,0.9,22.44,Ditolak,2025-12-16 11:08:48,22
23,23,Sering lupa bawa STNK atau SIM saat berkendara.,Digitalisasi dokumen kendaraan yang aman.,Pengendara bermotor.,"Casing HP yang ada slot kartu rahasia di dalamnya, desain custom.",Jual di marketplace.,Mesin cetak casing custom.,Omzet 2 juta.,Stok casing polosan berbagai tipe HP.,Partial,"[LATAR BELAKANG] Sering lupa bawa STNK atau SIM saat berkendara. [SEP] [NOBLE PURPOSE] Digitalisasi dokumen kendaraan yang aman. [SEP] [KONSUMEN] Pengendara bermotor. [SEP] [PRODUK INOVATIF] Casing HP yang ada slot kartu rahasia di dalamnya, desain custom. [SEP] [STRATEGI PEMASARAN] Jual di marketplace. [SEP] [SUMBER DAYA] Mesin cetak casing custom. [SEP] [KEUANGAN NARRATIVE] Omzet 2 juta. [SEP] [RAB NARRATIVE] Stok casing polosan berbagai tipe HP.",0.0,16.666666666666664,0.0,23.8,30.8,23.1,0.0,2.0408163265306123,0.0,0.0,33.0,0.0,30,45,30,9.26,22.54,9.12,0.46,19.16,0.91,20.53,Ditolak,2025-12-16 11:08:48,23
24,24,Kecelakaan motor tinggi karena mengantuk microsleep .,Menyelamatkan nyawa pengendara motor.,Pengendara motor jarak jauh touring.,"Helm pintar WakeUp dengan sensor detak jantung. Jika terdeteksi ngantuk, helm akan bergetar.",Komunitas motor touring.,Riset sensor IoT Arduino.,"Belum dijual, masih riset.",Beli komponen sensor dan helm bahan percobaan.,Success,"[LATAR BELAKANG] Kecelakaan motor tinggi karena mengantuk microsleep . [SEP] [NOBLE PURPOSE] Menyelamatkan nyawa pengendara motor. [SEP] [KONSUMEN] Pengendara motor jarak jauh touring. [SEP] [PRODUK INOVATIF] Helm pintar WakeUp dengan sensor detak jantung. Jika terdeteksi ngantuk, helm akan bergetar. [SEP] [STRATEGI PEMASARAN] Komunitas motor touring. [SEP] [SUMBER DAYA] Riset sensor IoT Arduino. [SEP] [KEUANGAN NARRATIVE] Belum dijual, masih riset. [SEP] [RAB NARRATIVE] Beli komponen sensor dan helm bahan percobaan.",100.0,16.666666666666664,0.0,23.45,32.55,23.45,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.19,17.43,9.19,1.71,14.82,0.92,17.45,Ditolak,2025-12-16 11:08:48,24
25,25,"Cari parkir di mall pas weekend susah banget, muter-muter habisin bensin.",Mengurangi emisi karbon akibat mencari parkir dan menghemat waktu.,Pengunjung mall kota besar.,"Aplikasi booking slot parkir mall. Bayar di muka, slot dijagain.",Kerjasama dengan pengelola parkir Secure Parking dll .,Backend system terintegrasi gate parkir.,Biaya admin Rp 2.000 per booking.,Integrasi sistem gate barrier.,Success,"[LATAR BELAKANG] Cari parkir di mall pas weekend susah banget, muter-muter habisin bensin. [SEP] [NOBLE PURPOSE] Mengurangi emisi karbon akibat mencari parkir dan menghemat waktu. [SEP] [KONSUMEN] Pengunjung mall kota besar. [SEP] [PRODUK INOVATIF] Aplikasi booking slot parkir mall. Bayar di muka, slot dijagain. [SEP] [STRATEGI PEMASARAN] Kerjasama dengan pengelola parkir Secure Parking dll . [SEP] [SUMBER DAYA] Backend system terintegrasi gate parkir. [SEP] [KEUANGAN NARRATIVE] Biaya admin Rp 2.000 per booking. [SEP] [RAB NARRATIVE] Integrasi sistem gate barrier.",100.0,50.0,0.0,24.85,35.7,22.4,0.0,4.081632653061225,0.0,0.0,71.0,0.0,30,45,30,34.47,38.06,8.98,1.72,32.35,0.9,34.97,Ditolak,2025-12-16 11:08:48,25
26,26,Banyak orang ingin investasi saham tapi takut rugi dan tidak paham grafik.,Demokratisasi literasi keuangan pasar modal.,Mahasiswa dan first jobber.,Platform belajar saham virtual SahamKuy . Simulasi trading dengan data real-time tapi uang mainan.,Kampus ekonomi dan bisnis.,Data feed dari bursa efek delay 15 menit .,Langganan fitur premium analisa teknikal.,Langganan API data saham.,Success,[LATAR BELAKANG] Banyak orang ingin investasi saham tapi takut rugi dan tidak paham grafik. [SEP] [NOBLE PURPOSE] Demokratisasi literasi keuangan pasar modal. [SEP] [KONSUMEN] Mahasiswa dan first jobber. [SEP] [PRODUK INOVATIF] Platform belajar saham virtual SahamKuy . Simulasi trading dengan data real-time tapi uang mainan. [SEP] [STRATEGI PEMASARAN] Kampus ekonomi dan bisnis. [SEP] [SUMBER DAYA] Data feed dari bursa efek delay 15 menit . [SEP] [KEUANGAN NARRATIVE] Langganan fitur premium analisa teknikal. [SEP] [RAB NARRATIVE] Langganan API data saham.,100.0,16.666666666666664,0.0,25.2,35.35,22.4,0.0,4.081632653061225,0.0,0.0,33.0,0.0,30,45,30,34.54,23.96,8.98,1.73,20.37,0.9,23.0,Ditolak,2025-12-16 11:08:48,26
27,27,Buah-buahan lokal sering busuk sebelum terjual karena rantai pasok panjang.,Mengurangi food loss dan membantu petani buah.,Toko buah dan supermarket.,Edible Coating BuahAwet dari bahan lilin lebah. Buah tahan busuk 2x lebih lama.,Demo ke pengepul buah.,Mahasiswa kimia murni.,"HPP murah, jual literan.",Bahan baku beeswax dan chitosan.,Success,"[LATAR BELAKANG] Buah-buahan lokal sering busuk sebelum terjual karena rantai pasok panjang. [SEP] [NOBLE PURPOSE] Mengurangi food loss dan membantu petani buah. [SEP] [KONSUMEN] Toko buah dan supermarket. [SEP] [PRODUK INOVATIF] Edible Coating BuahAwet dari bahan lilin lebah. Buah tahan busuk 2x lebih lama. [SEP] [STRATEGI PEMASARAN] Demo ke pengepul buah. [SEP] [SUMBER DAYA] Mahasiswa kimia murni. [SEP] [KEUANGAN NARRATIVE] HPP murah, jual literan. [SEP] [RAB NARRATIVE] Bahan baku beeswax dan chitosan.",100.0,16.666666666666664,0.0,24.5,33.25,22.75,0.0,0.0,0.0,0.0,33.0,0.0,30,45,30,34.4,22.52,9.05,1.72,19.14,0.91,21.77,Ditolak,2025-12-16 11:08:48,27
28,28,Lansia sering lupa minum obat atau salah dosis.,Meningkatkan harapan hidup lansia dengan kepatuhan minum obat.,Keluarga yang merawat lansia.,Kotak obat pintar yang bunyi alarm saat jam minum obat. Ada notif ke HP anak jika obat belum diminum.,Toko alat kesehatan.,Engineer elektro.,Harga jual 300rb per unit.,Produksi casing 3D print dan PCB custom.,Success,[LATAR BELAKANG] Lansia sering lupa minum obat atau salah dosis. [SEP] [NOBLE PURPOSE] Meningkatkan harapan hidup lansia dengan kepatuhan minum obat. [SEP] [KONSUMEN] Keluarga yang merawat lansia. [SEP] [PRODUK INOVATIF] Kotak obat pintar yang bunyi alarm saat jam minum obat. Ada notif ke HP anak jika obat belum diminum. [SEP] [STRATEGI PEMASARAN] Toko alat kesehatan. [SEP] [SUMBER DAYA] Engineer elektro. [SEP] [KEUANGAN NARRATIVE] Harga jual 300rb per unit. [SEP] [RAB NARRATIVE] Produksi casing 3D print dan PCB custom.,0.0,33.33333333333333,0.0,23.8,35.35,23.45,0.0,0.0,0.0,0.0,33.0,33.0,30,45,30,9.26,27.1,14.14,0.46,23.04,1.41,24.91,Ditolak,2025-12-16 11:08:48,28
29,29,Banyak buku bekas kuliah yang numpuk tidak terpakai.,Sirkulasi ilmu pengetahuan yang murah.,Mahasiswa baru.,Marketplace buku bekas khusus buku kuliah.,Grup angkatan maba.,Web developer.,Fee transaksi.,Hosting web.,Partial,[LATAR BELAKANG] Banyak buku bekas kuliah yang numpuk tidak terpakai. [SEP] [NOBLE PURPOSE] Sirkulasi ilmu pengetahuan yang murah. [SEP] [KONSUMEN] Mahasiswa baru. [SEP] [PRODUK INOVATIF] Marketplace buku bekas khusus buku kuliah. [SEP] [STRATEGI PEMASARAN] Grup angkatan maba. [SEP] [SUMBER DAYA] Web developer. [SEP] [KEUANGAN NARRATIVE] Fee transaksi. [SEP] [RAB NARRATIVE] Hosting web.,100.0,0.0,0.0,23.8,28.0,21.7,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.26,12.86,8.84,1.71,10.93,0.88,13.52,Ditolak,2025-12-16 11:08:48,29
30,30,Stress kerja tinggi butuh healing tapi tidak punya waktu liburan jauh.,Kesehatan mental masyarakat urban.,Karyawan SCBD Sudirman Central Business District .,Jasa CurhatTeman . Teman sewaan untuk mendengarkan keluh kesah bukan psikolog klinis .,Twitter X.,Pendengar yang empatik.,Tarif per jam.,Website booking jadwal.,Success,[LATAR BELAKANG] Stress kerja tinggi butuh healing tapi tidak punya waktu liburan jauh. [SEP] [NOBLE PURPOSE] Kesehatan mental masyarakat urban. [SEP] [KONSUMEN] Karyawan SCBD Sudirman Central Business District . [SEP] [PRODUK INOVATIF] Jasa CurhatTeman . Teman sewaan untuk mendengarkan keluh kesah bukan psikolog klinis . [SEP] [STRATEGI PEMASARAN] Twitter X. [SEP] [SUMBER DAYA] Pendengar yang empatik. [SEP] [KEUANGAN NARRATIVE] Tarif per jam. [SEP] [RAB NARRATIVE] Website booking jadwal.,100.0,16.666666666666664,0.0,24.85,32.2,22.05,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.47,17.36,8.91,1.72,14.76,0.89,17.37,Ditolak,2025-12-16 11:08:48,30
31,31,Hama tikus di sawah merugikan petani hingga gagal panen.,Ketahanan pangan nasional.,Petani padi.,Alat pengusir tikus gelombang ultrasonik tenaga surya.,Dinas pertanian.,Mahasiswa fisika.,Jual putus alat.,Panel surya mini dan speaker ultrasonik.,Success,[LATAR BELAKANG] Hama tikus di sawah merugikan petani hingga gagal panen. [SEP] [NOBLE PURPOSE] Ketahanan pangan nasional. [SEP] [KONSUMEN] Petani padi. [SEP] [PRODUK INOVATIF] Alat pengusir tikus gelombang ultrasonik tenaga surya. [SEP] [STRATEGI PEMASARAN] Dinas pertanian. [SEP] [SUMBER DAYA] Mahasiswa fisika. [SEP] [KEUANGAN NARRATIVE] Jual putus alat. [SEP] [RAB NARRATIVE] Panel surya mini dan speaker ultrasonik.,100.0,16.666666666666664,0.0,24.15,27.65,23.1,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.33,16.45,9.12,1.72,13.98,0.91,16.61,Ditolak,2025-12-16 11:08:48,31
32,32,Banyak hoax beredar di grup WhatsApp keluarga.,Mencerdaskan kehidupan bangsa dengan literasi digital.,Pengguna internet umum.,Chatbot WhatsApp CekFakta otomatis verifikasi berita hoax atau fakta.,Viral marketing.,API NLP dan database berita valid.,Donasi dan grant riset.,Server GPU untuk model AI.,Success,[LATAR BELAKANG] Banyak hoax beredar di grup WhatsApp keluarga. [SEP] [NOBLE PURPOSE] Mencerdaskan kehidupan bangsa dengan literasi digital. [SEP] [KONSUMEN] Pengguna internet umum. [SEP] [PRODUK INOVATIF] Chatbot WhatsApp CekFakta otomatis verifikasi berita hoax atau fakta. [SEP] [STRATEGI PEMASARAN] Viral marketing. [SEP] [SUMBER DAYA] API NLP dan database berita valid. [SEP] [KEUANGAN NARRATIVE] Donasi dan grant riset. [SEP] [RAB NARRATIVE] Server GPU untuk model AI.,0.0,33.33333333333333,0.0,23.45,31.5,22.75,0.0,4.081632653061225,0.0,0.0,0.0,0.0,30,45,30,9.19,22.4,9.05,0.46,19.04,0.91,20.41,Ditolak,2025-12-16 11:08:48,32
